States/Union Territories,Higher Secondary (11-12),Secondary (9-10),Upper Primary (6-8), Primary (1 to 5),Year
Delhi,33,35,30,42,2011-2012
Lakshadweep,4,146,27,24,2011-2012
Puducherry,100,100,14,26,2011-2012
INDIA,33,32,34,41,2011-2012
Andaman and Nicobar Islands,13,7,10,12,2021-2022
Andhra Pradesh,32,11,16,25,2021-2022
Arunachal Pradesh,20,11,9,12,2021-2022
Assam,21,11,14,21,2021-2022
Bihar,63,55,23,54,2021-2022
Chandigarh,27,12,16,28,2021-2022
Chhattisgarh,17,15,18,21,2021-2022
Dadra and Nagar Haveli,26,20,28,30,2021-2022
Daman and Diu,26,20,28,30,2021-2022
Delhi,22,28,33,34,2021-2022
Goa,19,9,16,26,2021-2022
Gujarat,28,29,25,30,2021-2022
Haryana,15,12,19,26,2021-2022
Himachal Pradesh,10,6,9,16,2021-2022
Jammu and Kashmir,28,13,10,15,2021-2022
Jharkhand,57,35,26,29,2021-2022
Karnataka,28,18,18,23,2021-2022
Kerala,22,15,21,27,2021-2022
Ladakh,13,6,4,8,2021-2022
Lakshadweep,12,7,14,16,2021-2022
Madhya Pradesh,30,23,18,25,2021-2022
Maharashtra,38,21,27,25,2021-2022
Manipur,16,9,11,13,2021-2022
Meghalaya,20,12,14,20,2021-2022
Mizoram,15,9,8,16,2021-2022
Nagaland,17,10,8,11,2021-2022
Odisha,36,18,15,17,2021-2022
Puducherry,16,10,14,18,2021-2022
Punjab,18,11,19,26,2021-2022
Rajasthan,18,11,13,26,2021-2022
Sikkim,11,9,8,7,2021-2022
Tamil Nadu,21,13,15,20,2021-2022
Telangana,29,10,13,21,2021-2022
Tripura,15,14,20,18,2021-2022
Uttar Pradesh,39,27,25,28,2021-2022
Uttarakhand,17,11,16,19,2021-2022
West Bengal,28,17,28,27,2021-2022
INDIA,27,18,19,26,2021-2022
