Year,Service Provider,Circle,Data Speed(Mbps)
2020,Vi India,Gujarat,76.59270723
2020,AIRTEL,Gujarat,61.49787132
2020,BSNL,Gujarat,22.84433962
2020,JIO,Delhi,150.6535908
2020,Vi India,Delhi,66.62369973
2020,AIRTEL,Delhi,46.95825728
2020,BSNL,Delhi,39.84015873
2020,JIO,Kerala,72.90736057
2020,Vi India,Kerala,59.97198437
2020,AIRTEL,Kerala,49.4808297
2020,BSNL,Kerala,16.49418578
2020,JIO,Jammu & Kashmir,9.479374842
2020,Vi India,Jammu & Kashmir,34.01349054
2020,AIRTEL,Jammu & Kashmir,13.7993326
2020,BSNL,Jammu & Kashmir,72.91227273
2020,JIO,Himachal Pradesh,58.89681837
2020,Vi India,Himachal Pradesh,64.2392038
2020,AIRTEL,Himachal Pradesh,37.65346697
2020,BSNL,Himachal Pradesh,14.53112281
2020,JIO,Tamil Nadu,58.88433756
2020,Vi India,Tamil Nadu,68.47906927
2020,AIRTEL,Tamil Nadu,61.24257861
2020,BSNL,Tamil Nadu,18.44323429
2020,JIO,Bihar,84.59939586
2020,Vi India,Bihar,58.36102886
2020,AIRTEL,Bihar,49.62660706
2020,BSNL,Bihar,9.448125
2020,JIO,Karnataka,79.06915652
2020,Vi India,Karnataka,62.72547819
2020,AIRTEL,Karnataka,45.16150131
2020,BSNL,Karnataka,21.44251272
2020,JIO,Assam,40.90603377
2020,Vi India,Assam,87.30777932
2020,AIRTEL,Assam,34.31566726
2020,BSNL,Assam,12.16038462
2020,JIO,North East,36.49681728
2020,Vi India,North East,57.18675576
2020,AIRTEL,North East,31.20626503
2020,BSNL,North East,27.1228839
2020,JIO,INDIA,111.325452
2020,Vi India,INDIA,65.38968869
2020,AIRTEL,INDIA,55.78363253
2020,BSNL,INDIA,20.31925906
2021,JIO,Andhra Pradesh,122.2158224
2021,Vi India,Andhra Pradesh,50.53540889
2021,AIRTEL,Andhra Pradesh,82.75493287
2021,BSNL,Andhra Pradesh,22.02144972
2021,JIO,Maharashtra,142.0396377
2021,Vi India,Maharashtra,78.27535209
2021,AIRTEL,Maharashtra,61.97894445
2021,BSNL,Maharashtra,33.55654387
2021,JIO,Haryana,211.1119045
2021,Vi India,Haryana,78.96304182
2021,AIRTEL,Haryana,52.97634044
2021,BSNL,Haryana,22.18371399
2021,JIO,Punjab,151.8163112
2021,Vi India,Punjab,83.29471642
2021,AIRTEL,Punjab,55.55669026
2021,BSNL,Punjab,23.0552327
2021,JIO,Uttar Pradesh,151.9264182
2021,Vi India,Uttar Pradesh,86.17385454
2021,AIRTEL,Uttar Pradesh,57.66280667
2021,BSNL,Uttar Pradesh,21.70442988
2021,JIO,Madhya Pradesh,131.9350964
2021,Vi India,Madhya Pradesh,97.64886071
2021,AIRTEL,Madhya Pradesh,63.61671575
2021,BSNL,Madhya Pradesh,17.5725676
2021,JIO,Orissa,208.1442631
2021,Vi India,Orissa,77.55025482
2021,AIRTEL,Orissa,53.91224412
2021,BSNL,Orissa,10.71314815
2021,JIO,West Bengal,137.659461
2021,Vi India,West Bengal,96.08580841
2021,AIRTEL,West Bengal,48.7784503
2021,BSNL,West Bengal,8.976969697
2021,JIO,Rajasthan,169.0161297
2021,Vi India,Rajasthan,72.56287002
2021,AIRTEL,Rajasthan,73.14176836
2021,BSNL,Rajasthan,21.48665497
2021,JIO,Gujarat,148.5156212
2021,Vi India,Gujarat,93.77566592
2021,AIRTEL,Gujarat,58.06984081
2021,BSNL,Gujarat,24.23916667
2021,JIO,Delhi,137.0678082
2021,Vi India,Delhi,74.28091869
2021,AIRTEL,Delhi,53.54838755
2021,BSNL,Delhi,50.81041667
2021,JIO,Kerala,121.7585504
2021,Vi India,Kerala,114.6226697
2021,AIRTEL,Kerala,99.48742928
2021,BSNL,Kerala,17.29735324
2021,JIO,Jammu & Kashmir,59.29235449
2021,Vi India,Jammu & Kashmir,76.87530176
2021,AIRTEL,Jammu & Kashmir,76.7136829
2021,BSNL,Jammu & Kashmir,30.21531215
2021,JIO,Himachal Pradesh,58.20523926
2021,Vi India,Himachal Pradesh,58.28475975
2021,AIRTEL,Himachal Pradesh,54.12706999
2021,BSNL,Himachal Pradesh,34.36981273
2021,JIO,Tamil Nadu,131.4238743
2021,Vi India,Tamil Nadu,81.28787495
2021,AIRTEL,Tamil Nadu,61.24375451
2021,BSNL,Tamil Nadu,18.76875462
2021,JIO,Bihar,164.0720411
2021,Vi India,Bihar,61.67062013
2021,AIRTEL,Bihar,58.58951432
2021,BSNL,Bihar,15.11981132
2021,JIO,Karnataka,126.502143
2021,Vi India,Karnataka,69.73819461
2021,AIRTEL,Karnataka,55.12841052
2021,BSNL,Karnataka,21.443552
2021,JIO,Assam,58.90966108
2021,Vi India,Assam,149.9640697
2021,AIRTEL,Assam,34.21218095
2021,BSNL,Assam,18.612
2021,JIO,North East,89.38481447
2021,Vi India,North East,77.78775543
2021,AIRTEL,North East,53.21455051
2021,BSNL,North East,21.52057143
2021,JIO,INDIA,137.1729698
2021,Vi India,INDIA,94.52990328
2021,AIRTEL,INDIA,75.49541973
2021,BSNL,INDIA,22.40260946
2022,JIO,Andhra Pradesh,134.4267798
2022,Vi India,Andhra Pradesh,120.5955557
2022,AIRTEL,Andhra Pradesh,110.7288401
2022,BSNL,Andhra Pradesh,25.04796051
2022,JIO,Maharashtra,195.5729692
2022,Vi India,Maharashtra,115.4808913
2022,AIRTEL,Maharashtra,103.8839745
2022,BSNL,Maharashtra,55.52949285
2022,JIO,Haryana,118.7684726
2022,Vi India,Haryana,99.39629263
2022,AIRTEL,Haryana,113.7993095
2022,BSNL,Haryana,23.13605046
2022,JIO,Punjab,172.4403885
2022,Vi India,Punjab,133.7395618
2022,AIRTEL,Punjab,97.03497012
2022,BSNL,Punjab,21.04345395
2022,JIO,Uttar Pradesh,140.5290418
2022,Vi India,Uttar Pradesh,129.479244
2022,AIRTEL,Uttar Pradesh,108.0660339
2022,BSNL,Uttar Pradesh,21.98453873
2022,JIO,Madhya Pradesh,161.228933
2022,Vi India,Madhya Pradesh,136.3366715
2022,AIRTEL,Madhya Pradesh,108.0438488
2022,BSNL,Madhya Pradesh,26.26649143
2022,JIO,Orissa,310.302423
2022,Vi India,Orissa,116.3060017
2022,AIRTEL,Orissa,117.5474788
2022,BSNL,Orissa,23.94335595
2022,JIO,West Bengal,176.8382063
2022,Vi India,West Bengal,127.2701961
2022,AIRTEL,West Bengal,90.78577091
2022,BSNL,West Bengal,26.24221423
2022,JIO,Rajasthan,188.9692413
2022,Vi India,Rajasthan,88.0441518
2022,AIRTEL,Rajasthan,94.53987266
2022,BSNL,Rajasthan,20.42606646
2022,JIO,Gujarat,192.9270305
2022,Vi India,Gujarat,119.5396918
2022,AIRTEL,Gujarat,93.98437326
2022,BSNL,Gujarat,33.59562399
2022,JIO,Delhi,186.999248
2022,Vi India,Delhi,90.5774702
2022,AIRTEL,Delhi,89.09873498
2022,BSNL,Delhi,38.237375
2022,JIO,Kerala,154.5670627
2022,Vi India,Kerala,82.85378648
2022,AIRTEL,Kerala,69.2577325
2022,BSNL,Kerala,23.62064304
2022,JIO,Jammu & Kashmir,78.88991118
2022,Vi India,Jammu & Kashmir,127.9945424
2022,AIRTEL,Jammu & Kashmir,97.64619536
2022,BSNL,Jammu & Kashmir,25.63271771
2022,JIO,Himachal Pradesh,75.61777726
2022,Vi India,Himachal Pradesh,81.0565085
2022,AIRTEL,Himachal Pradesh,86.03977056
2022,BSNL,Himachal Pradesh,27.21585698
2022,JIO,Tamil Nadu,167.1800654
2022,Vi India,Tamil Nadu,125.0232378
2022,AIRTEL,Tamil Nadu,94.57215536
2022,BSNL,Tamil Nadu,23.97987722
2022,JIO,Bihar,186.0504692
2022,Vi India,Bihar,73.53241339
2022,AIRTEL,Bihar,91.06756911
2022,BSNL,Bihar,26.55487811
2022,JIO,Karnataka,199.252942
2022,Vi India,Karnataka,98.08112898
2022,AIRTEL,Karnataka,93.13195232
2022,BSNL,Karnataka,22.95576522
2022,JIO,Assam,82.0795972
2022,Vi India,Assam,120.1222109
2022,AIRTEL,Assam,79.01802227
2022,BSNL,Assam,90.33993726
2022,JIO,North East,88.91527022
2022,Vi India,North East,91.75449234
2022,AIRTEL,North East,72.45298578
2022,BSNL,North East,30.32367077
2022,JIO,INDIA,148.4084583
2022,Vi India,INDIA,116.1696464
2022,AIRTEL,INDIA,108.2070519
2022,BSNL,INDIA,26.63077224
2023,JIO,Andhra Pradesh,170.5653217
2023,Vi India,Andhra Pradesh,119.6246406
2023,AIRTEL,Andhra Pradesh,151.6689576
2023,BSNL,Andhra Pradesh,33.06639004
2023,JIO,Maharashtra,177.0780185
2023,Vi India,Maharashtra,125.0014171
2023,AIRTEL,Maharashtra,143.3486787
2023,BSNL,Maharashtra,37.67565043
2023,JIO,Haryana,110.6329604
2023,Vi India,Haryana,120.4909815
2023,AIRTEL,Haryana,134.7832029
2023,BSNL,Haryana,29.34975224
2023,JIO,Punjab,173.4934573
2023,Vi India,Punjab,139.4627304
2023,AIRTEL,Punjab,133.3803492
2023,BSNL,Punjab,31.99630202
2023,JIO,Uttar Pradesh,170.0885495
2023,Vi India,Uttar Pradesh,114.9221854
2023,AIRTEL,Uttar Pradesh,128.9218826
2023,BSNL,Uttar Pradesh,30.60943627
2023,JIO,Madhya Pradesh,159.9406221
2023,Vi India,Madhya Pradesh,125.6530784
2023,AIRTEL,Madhya Pradesh,118.6068208
2023,BSNL,Madhya Pradesh,31.33800788
2023,JIO,Orissa,204.3752341
2023,Vi India,Orissa,134.2359522
2023,AIRTEL,Orissa,173.3565533
2023,BSNL,Orissa,27.29571859
2023,JIO,West Bengal,141.9805713
2023,Vi India,West Bengal,112.9854239
2023,AIRTEL,West Bengal,127.7084113
2023,BSNL,West Bengal,26.4518476
2023,JIO,Rajasthan,190.9956856
2023,Vi India,Rajasthan,114.8870793
2023,AIRTEL,Rajasthan,127.3033854
2023,BSNL,Rajasthan,24.92963221
2023,JIO,Gujarat,167.8172183
2023,Vi India,Gujarat,140.4905072
2023,AIRTEL,Gujarat,126.1209271
2023,BSNL,Gujarat,34.45700842
2023,JIO,Delhi,195.0441322
2023,Vi India,Delhi,108.4610146
2023,AIRTEL,Delhi,140.3200974
2023,JIO,Kerala,142.2380165
2023,Vi India,Kerala,94.24264955
2023,AIRTEL,Kerala,104.2969733
2023,BSNL,Kerala,23.28417372
2023,JIO,Jammu & Kashmir,98.6858907
2023,Vi India,Jammu & Kashmir,7.534487805
2023,AIRTEL,Jammu & Kashmir,160.1986948
2023,BSNL,Jammu & Kashmir,26.98971449
2023,JIO,Himachal Pradesh,90.99024365
2023,Vi India,Himachal Pradesh,81.38586621
2023,AIRTEL,Himachal Pradesh,120.135678
2023,BSNL,Himachal Pradesh,26.58135486
2023,JIO,Tamil Nadu,160.8579187
2023,Vi India,Tamil Nadu,131.6673815
2023,AIRTEL,Tamil Nadu,129.7908257
2023,BSNL,Tamil Nadu,28.51175319
2023,JIO,Bihar,177.642073
2023,Vi India,Bihar,79.86473567
2023,AIRTEL,Bihar,124.2986893
2023,BSNL,Bihar,28.0273094
2023,JIO,Karnataka,183.79156
2023,Vi India,Karnataka,121.8952853
2023,AIRTEL,Karnataka,163.9595322
2023,BSNL,Karnataka,27.60192102
2023,JIO,Assam,84.43435511
2023,Vi India,Assam,147.712017
2023,AIRTEL,Assam,111.8134576
2023,BSNL,Assam,54.50635802
2023,JIO,North East,86.26573934
2023,Vi India,North East,100.6931782
2023,AIRTEL,North East,97.70771535
2023,BSNL,North East,30.57529412
2023,JIO,INDIA,142.649754
2023,Vi India,INDIA,120.6564192
2023,AIRTEL,INDIA,135.0902415
2023,BSNL,INDIA,29.88522621
